Transaction_ID,Date,Store,City,Product_Category,Product_Name,Unit_Price,Quantity,Total_Sales,Discount,Profit,Customer_Segment
T00001,2022-11-24,Walmart,Phoenix,Clothing,Jacket,379.01,3,1125.66,0.01,199.71,Home Office
T00002,2022-02-27,Walmart,New York,Household,Soap,416.45,5,1624.15,0.22,248.92,Home Office
T00003,2022-01-13,Walmart,New York,Groceries,Bread,131.36,9,1052.19,0.11,408.32,Corporate
T00004,2022-05-21,Walmart,Phoenix,Household,Trash Bags,368.96,8,2656.51,0.1,905.81,Home Office
T00005,2022-05-06,Walmart,Phoenix,Clothing,Shoes,118.45,5,538.95,0.09,109.84,Home Office
T00006,2022-04-25,Walmart,Los Angeles,Beverages,Coffee,260.79,4,1011.87,0.03,274.1,Corporate
T00007,2022-03-13,Walmart,New York,Electronics,Headphones,74.98,7,393.64,0.25,149.39,Corporate
T00008,2022-02-22,Walmart,Phoenix,Beverages,Coffee,108.96,2,193.95,0.11,52.06,Home Office
T00009,2022-12-13,Walmart,Houston,Clothing,Socks,436.26,10,3708.21,0.15,1090.75,Home Office
T00010,2022-10-07,Walmart,Houston,Electronics,Charger,412.26,3,1051.26,0.15,293.1,Consumer
T00011,2022-02-14,Walmart,Los Angeles,Clothing,Shoes,60.79,4,209.12,0.14,81.94,Home Office
T00012,2022-10-30,Walmart,Chicago,Household,Detergent,301.6,7,2047.86,0.03,629.93,Consumer
T00013,2022-08-05,Walmart,Houston,Clothing,Jeans,60.64,5,212.24,0.3,68.81,Consumer
T00014,2022-01-17,Walmart,Chicago,Beverages,Soda,392.33,7,2718.85,0.01,479.7,Consumer
T00015,2022-01-16,Walmart,Houston,Beverages,Coffee,3.04,9,24.62,0.1,4.49,Corporate
T00016,2022-02-17,Walmart,Phoenix,Clothing,Jacket,283.75,6,1310.92,0.23,368.62,Consumer
T00017,2022-04-22,Walmart,Chicago,Beverages,Tea,318.96,8,2041.34,0.2,740.51,Consumer
T00018,2022-04-30,Walmart,New York,Clothing,Shoes,205.99,4,601.49,0.27,189.62,Home Office
T00019,2022-09-16,Walmart,Chicago,Electronics,Mouse,323.67,3,767.1,0.21,197.15,Home Office
T00020,2022-11-05,Walmart,Phoenix,Groceries,Beans,44.41,10,373.04,0.16,78.56,Home Office
T00021,2022-01-14,Walmart,Los Angeles,Beverages,Coffee,252.31,1,242.22,0.04,40.2,Consumer
T00022,2022-10-15,Walmart,Phoenix,Household,Soap,124.15,10,1080.11,0.13,214.15,Corporate
T00023,2022-04-12,Walmart,New York,Electronics,USB Cable,24.4,1,21.96,0.1,7.79,Home Office
T00024,2022-11-29,Walmart,Chicago,Household,Cleaner,130.07,2,184.7,0.29,48.86,Consumer
T00025,2022-12-26,Walmart,Los Angeles,Beverages,Juice,384.62,3,1050.01,0.09,313.09,Consumer
T00026,2022-10-07,Walmart,Los Angeles,Clothing,Jacket,92.37,1,84.06,0.09,31.55,Corporate
T00027,2022-08-03,Walmart,Phoenix,Household,Tissue,189.01,2,370.46,0.02,125.99,Home Office
T00028,2022-04-23,Walmart,New York,Beverages,Coffee,255.29,9,2021.9,0.12,750.59,Corporate
T00029,2022-08-18,Walmart,New York,Electronics,USB Cable,204.72,8,1621.38,0.01,391.75,Corporate
T00030,2022-10-29,Walmart,Los Angeles,Clothing,Shoes,338.2,4,1041.66,0.23,246.99,Corporate
T00031,2022-05-23,Walmart,Chicago,Clothing,Socks,224.1,9,1895.89,0.06,299.59,Home Office
T00032,2022-01-04,Walmart,New York,Beverages,Soda,269.69,7,1340.36,0.29,350.12,Consumer
T00033,2022-03-23,Walmart,Houston,Electronics,USB Cable,146.05,3,438.15,0.0,73.01,Corporate
T00034,2022-12-24,Walmart,Los Angeles,Clothing,Jacket,420.06,7,2058.29,0.3,389.82,Home Office
T00035,2022-08-05,Walmart,Houston,Clothing,Jacket,24.65,9,184.14,0.17,59.81,Home Office
T00036,2022-06-24,Walmart,Phoenix,Groceries,Milk,363.09,5,1343.43,0.26,466.56,Corporate
T00037,2022-05-23,Walmart,Chicago,Household,Tissue,489.86,8,3605.37,0.08,845.21,Corporate
T00038,2022-03-21,Walmart,New York,Beverages,Coffee,479.58,6,2877.48,0.0,653.3,Home Office
T00039,2022-04-21,Walmart,Houston,Electronics,Headphones,450.92,3,1190.43,0.12,209.73,Corporate
T00040,2022-06-22,Walmart,Houston,Clothing,T-Shirt,394.08,2,662.05,0.16,117.09,Home Office
T00041,2022-02-22,Walmart,Los Angeles,Groceries,Bread,486.08,7,2551.92,0.25,792.39,Home Office
T00042,2022-02-17,Walmart,New York,Groceries,Rice,232.42,4,808.82,0.13,278.74,Corporate
T00043,2022-07-14,Walmart,Los Angeles,Household,Soap,46.8,10,379.08,0.19,75.02,Consumer
T00044,2022-02-19,Walmart,Los Angeles,Electronics,Mouse,20.32,8,118.67,0.27,26.49,Consumer
T00045,2022-07-03,Walmart,Phoenix,Beverages,Coffee,57.25,5,237.59,0.17,65.69,Consumer
T00046,2022-06-26,Walmart,Los Angeles,Clothing,Shoes,283.44,2,464.84,0.18,99.25,Corporate
